Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
DDD,3D Systems Corporation,8.37,938092449.9,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,140.49,86501510519,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,18,754091694,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,61.57,8571828720,n/a,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba
AHC,A.H. Belo Corporation,5.01,107943180.5,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
ATEN,"A10 Networks, Inc.",5.97,378114475.3,n/a,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
AAC,"AAC Holdings, Inc.",18.11,405796402.2,n/a,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac
AIR,AAR Corp.,23.51,823875623.8,n/a,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",20.33,1475516859,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,16.31,36140248838,n/a,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,40.67,60668247967,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,55.65,90973665931,n/a,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,25.53,1715735072,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
GCH,"Aberdeen Greater China Fund, Inc.",7.97,73227993.38,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.23,98782644.09,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq
SGF,"Aberdeen Singapore Fund, Inc.",8.07,62128799.52,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf
ABM,ABM Industries Incorporated,26.58,1490391155,n/a,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,31.53,2176250291,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
ACN,Accenture plc.,98.2,63920986817,n/a,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,6.16,655310360.3,n/a,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
ACW,Accuride Corporation New,1.26,60421479.3,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/acw
ACE,Ace Limited,109.96,35646994551,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ace
ATV,"Acorn International, Inc.",4.01,2497720.73,n/a,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv
ATU,Actuant Corporation,22.11,1319781519,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,215.48,9402576894,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
ADX,"Adams Diversified Equity Fund, Inc.",12.06,1121837385,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx
PEO,"Adams Natural Resources Fund, Inc.",16.3,418167795.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/peo
AGRO,Adecoagro S.A.,11.7,1416455305,n/a,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro
ADPT,Adeptus Health Inc.,56.6,1175487874,n/a,1986,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adpt
ADT,ADT Corporation,30.22,4984398860,n/a,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/adt
AAP,Advance Auto Parts Inc,145.56,10660319059,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap
WMS,"Advanced Drainage Systems, Inc.",21.07,1122179266,n/a,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms
ASX,"Advanced Semiconductor Engineering, Inc.",5.11,7927701007,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
AAV,Advantage Oil & Gas Ltd,4.78,816093988.8,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
ATE,Advantest Corporation (Kabushiki Kaisha Advantest) ADS,7.85,1370398238,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ate
AVK,Advent Claymore Convertible Securities and Income Fund,13.21,311503372,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk
AGC,Advent Claymore Convertible Securities and Income Fund II,5.31,171198223.2,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc
LCM,Advent/Claymore Enhanced Growth & Income Fund,8.08,109912442,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm
ACM,AECOM,27.81,4210658955,n/a,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
ANW,Aegean Marine Petroleum Network Inc.,7.09,342243892.8,n/a,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
